player_id,player_name,quarter,score
1502,Adonal Foyle,1,2
1882,Elton Brand,1,2
697,Fred Hoiberg,1,1
697,Fred Hoiberg,1,1
1716,Larry Hughes,1,2
697,Fred Hoiberg,1,3
682,Bob Sura,1,1
1712,Antawn Jamison,1,2
252,Karl Malone,1,4
15,Eric Piatkowski,1,2
252,Karl Malone,1,2
15,Eric Piatkowski,1,2
304,John Stockton,1,2
1894,Corey Maggette,1,3
304,John Stockton,1,2
15,Eric Piatkowski,1,3
923,Donyell Marshall,1,2
369,Charlie Ward,1,1
1728,Roshown McLeod,1,0
673,Alan Henderson,1,2
673,Alan Henderson,1,1
913,Larry Johnson,1,2
913,Larry Johnson,1,1
369,Charlie Ward,1,0
275,Allan Houston,1,2
754,Jim Jackson,1,3
948,Marcus Camby,1,2
754,Jim Jackson,1,2
383,Kendall Gill,1,2
1536,Stephen Jackson,1,1
1536,Stephen Jackson,1,1
1915,Evan Eschmeyer,1,2
1740,Rashard Lewis,1,2
121,Patrick Ewing,1,2
1536,Stephen Jackson,1,2
56,Gary Payton,1,2
383,Kendall Gill,1,2
56,Gary Payton,1,2
56,Gary Payton,1,2
950,Stephon Marbury,1,2
979,Jermaine O'Neal,1,2
1496,Keith Van Horn,1,1
1496,Keith Van Horn,1,1
1733,Al Harrington,1,1
2030,Kenyon Martin,1,1
2030,Kenyon Martin,1,1
950,Stephon Marbury,1,2
147,Jalen Rose,1,2
1915,Evan Eschmeyer,1,1
2030,Kenyon Martin,1,2
147,Jalen Rose,1,1
147,Jalen Rose,1,1
133,David Wesley,1,0
979,Jermaine O'Neal,1,2
397,Reggie Miller,1,2
147,Jalen Rose,1,2
397,Reggie Miller,1,2
1884,Baron Davis,1,1
136,P.J. Brown,1,2
922,Elden Campbell,1,2
469,Jamal Mashburn,1,2
979,Jermaine O'Neal,1,1
1944,Eddie Robinson,1,2
1884,Baron Davis,1,1
1884,Baron Davis,1,1
2048,Jamaal Magloire,1,2
1425,Aaron Williams,1,4
1500,Ron Mercer,1,2
1536,Stephen Jackson,1,2
1897,Metta World Peace,1,2
950,Stephon Marbury,1,2
383,Kendall Gill,1,2
697,Fred Hoiberg,1,3
1882,Elton Brand,1,2
1882,Elton Brand,1,0
2030,Kenyon Martin,1,0
1897,Metta World Peace,1,0
1500,Ron Mercer,1,2
213,Antonio Davis,1,4
299,Glenn Robinson,1,2
349,Mark Jackson,1,2
1713,Vince Carter,1,2
891,Charles Oakley,1,2
1713,Vince Carter,1,2
679,Jason Caffey,1,2
891,Charles Oakley,1,2
1928,Todd MacCulloch,1,2
949,Shareef Abdur-Rahim,1,2
947,Allen Iverson,1,2
1722,Michael Dickerson,1,1
970,Othella Harrington,1,2
689,Theo Ratliff,1,2
1928,Todd MacCulloch,1,0
947,Allen Iverson,1,2
1722,Michael Dickerson,1,1
1722,Michael Dickerson,1,1
717,Arvydas Sabonis,1,2
275,Allan Houston,1,2
1719,Bonzi Wells,1,2
913,Larry Johnson,1,2
275,Allan Houston,1,2
717,Arvydas Sabonis,1,2
349,Mark Jackson,1,2
739,Rasheed Wallace,1,2
739,Rasheed Wallace,1,2
948,Marcus Camby,1,2
717,Arvydas Sabonis,1,2
224,Eddie Jones,1,2
1477,Bruce Bowen,1,3
406,Shaquille O'Neal,1,2
258,Brian Grant,1,2
406,Shaquille O'Neal,1,2
258,Brian Grant,1,2
977,Kobe Bryant,1,1
977,Kobe Bryant,1,1
193,Anthony Mason,1,2
406,Shaquille O'Neal,1,2
1477,Bruce Bowen,1,2
977,Kobe Bryant,1,2
258,Brian Grant,1,2
976,Jeff McInnis,1,0
1709,Michael Olowokandi,1,1
1502,Adonal Foyle,1,0
685,Cherokee Parks,1,0
1712,Antawn Jamison,1,0
1885,Lamar Odom,1,0
916,Corie Blount,1,0
1712,Antawn Jamison,1,2
2084,Chris Porter,1,2
1885,Lamar Odom,1,2
1885,Lamar Odom,1,1
1502,Adonal Foyle,1,2
1709,Michael Olowokandi,1,2
1712,Antawn Jamison,1,2
2084,Chris Porter,1,2
248,George Lynch,1,4
238,Tyrone Hill,1,2
1709,Michael Olowokandi,1,2
87,Dikembe Mutombo,1,2
976,Jeff McInnis,1,2
976,Jeff McInnis,1,1
243,Aaron McKie,1,2
1885,Lamar Odom,1,2
1709,Michael Olowokandi,1,1
1709,Michael Olowokandi,1,1
1885,Lamar Odom,1,0
15,Eric Piatkowski,1,3
243,Aaron McKie,1,1
87,Dikembe Mutombo,1,1
693,Joe Smith,1,2
1901,Dion Glover,1,2
